"window_number";"window_end_time";"packets_number";"total_packets_size"
1438;1438;35;1410
1439;1439;34;1650
1440;1440;22;1167
1441;1441;16;787
1442;1442;69;2798
1443;1443;64;2517
1444;1444;27;1141
1445;1445;20;867
1446;1446;32;1903
1447;1447;45;2146
1448;1448;73;2626
1449;1449;33;1302
1450;1450;27;1160
1451;1451;25;1384
1452;1452;21;1093
1453;1453;60;2211
1454;1454;69;2866
1455;1455;31;1417
1456;1456;21;914
1457;1457;14;672
1458;1458;37;1672
1459;1459;89;3666
1460;1460;44;2045
1461;1461;26;1081
1462;1462;13;624
1463;1463;15;720
1464;1464;72;2978
1465;1465;62;2429
1466;1466;28;1246
1467;1467;31;1610
1468;1468;16;816
1469;1469;32;1293
